"BehaviorSpace results (NetLogo 6.2.1)"
"PepperedMoths.nlogo"
"experiment"
"02/01/2022 15:39:08:936 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","pollution","[step]","averageBlackness"
"4","0","600","15.80627785726945"
"2","0","600","13.60763434646082"
"3","0","600","10.435533580458303"
"1","0","600","8.721217912140206"
"5","2","600","15.70577904610066"
"6","2","600","10.683322675934104"
"7","2","600","12.675926127815321"
"8","2","600","12.799667417876332"
"9","4","600","13.000088380374796"
"10","4","600","14.557154668958013"
"11","4","600","8.869354311453105"
"12","4","600","9.630231561172634"
"13","6","600","17.238805921649085"
"14","6","600","18.183919233281063"
"15","6","600","10.366462461309927"
"16","6","600","18.95266404865681"
"17","8","600","24.10012653508882"
"18","8","600","20.096941583722398"
"19","8","600","20.933271032767014"
"20","8","600","18.75437675200407"
"21","10","600","20.735264442456668"
"22","10","600","20.89303340829706"
"23","10","600","25.774199155102487"
"24","10","600","18.061383428287648"
"25","12","600","23.302724154537977"
"26","12","600","21.813461677211194"
"27","12","600","13.152812434049604"
"28","12","600","24.802833705446847"
"29","14","600","22.78999061063711"
"30","14","600","20.52317875104347"
"31","14","600","19.560155823556816"
"32","14","600","20.26757169534825"
"33","16","600","14.883601008000275"
"34","16","600","17.527542961851058"
"35","16","600","25.22767370785415"
"36","16","600","15.840774605609832"
"37","18","600","31.505829788826365"
"38","18","600","27.794315288469665"
"39","18","600","30.10499344844028"
"40","18","600","13.482851200629948"
"41","20","600","32.81458914168021"
"42","20","600","27.931968925306595"
"43","20","600","17.220447027403488"
"44","20","600","28.652108328232483"
"45","22","600","25.515250745817124"
"46","22","600","26.464947200876978"
"47","22","600","27.454072440746266"
"48","22","600","24.254197583155513"
"49","24","600","23.119242855731137"
"50","24","600","21.599303438238234"
"51","24","600","37.24226454315581"
"52","24","600","28.43391220599113"
"53","26","600","26.84079117029423"
"54","26","600","32.627059059037386"
"55","26","600","29.513390971918824"
"56","26","600","33.32506677673447"
"57","28","600","28.69950811836385"
"58","28","600","37.08987835845153"
"59","28","600","21.20003439898826"
"60","28","600","35.353649785992566"
"61","30","600","41.324175572606954"
"62","30","600","30.88947413777362"
"63","30","600","34.52575400311115"
"64","30","600","41.02266363618229"
"65","32","600","32.399704128210665"
"66","32","600","38.67543835270676"
"67","32","600","34.75181210034281"
"68","32","600","35.46379918836972"
"69","34","600","35.93643406620923"
"70","34","600","35.71530380910713"
"71","34","600","31.75577489346823"
"73","36","600","43.02806085007579"
"72","34","600","35.73953195307179"
"74","36","600","34.66316308771583"
"75","36","600","45.61372917517071"
"76","36","600","32.674986542668265"
"77","38","600","28.312226882039095"
"78","38","600","48.02488081371051"
"79","38","600","50.378827969144375"
"80","38","600","42.605873154071446"
"81","40","600","47.32482582799218"
"82","40","600","56.43553133359293"
"83","40","600","30.745874943870703"
"84","40","600","34.62548175549845"
"85","42","600","53.3903217264106"
"86","42","600","39.97531839952054"
"87","42","600","42.690172536415155"
"88","42","600","40.172986069991566"
"90","44","600","36.76624340604261"
"89","44","600","46.2665420217938"
"91","44","600","48.165828528848266"
"92","44","600","42.25418862278625"
"93","46","600","48.67808844856369"
"95","46","600","49.600360309043985"
"94","46","600","59.38469560983677"
"96","46","600","47.17890666976855"
"97","48","600","49.56040984826956"
"98","48","600","40.65786253145656"
"99","48","600","36.75697659652391"
"100","48","600","59.489754069223515"
"101","50","600","54.202613053496904"
"102","50","600","50.48041238887541"
"103","50","600","58.406842890704766"
"104","50","600","48.37124146842165"
"105","52","600","57.99943725667999"
"106","52","600","48.30153729209541"
"107","52","600","59.41478399427844"
"108","52","600","56.988610305380774"
"109","54","600","50.05414163522734"
"110","54","600","50.97131576728164"
"111","54","600","35.0172517552901"
"112","54","600","58.54560968031852"
"113","56","600","62.954137180214225"
"114","56","600","59.697565414624265"
"115","56","600","56.73522568319362"
"116","56","600","48.65041765236204"
"117","58","600","67.22974165987577"
"118","58","600","47.72461207813403"
"119","58","600","55.95802003484201"
"120","58","600","56.12231628129624"
"121","60","600","60.24043184597155"
"122","60","600","45.21982112920372"
"123","60","600","54.99418399286215"
"124","60","600","63.21515543279577"
"125","62","600","59.0077647034026"
"126","62","600","54.494844707804496"
"127","62","600","59.51456966848051"
"128","62","600","58.93217859296866"
"129","64","600","59.50787101828318"
"130","64","600","69.14730740904922"
"131","64","600","63.45998079384143"
"132","64","600","69.09947797648145"
"133","66","600","67.28042245459507"
"134","66","600","65.06572381357387"
"135","66","600","60.97377037492057"
"136","66","600","70.87806051074499"
"137","68","600","75.99626002099681"
"138","68","600","52.30997829767445"
"139","68","600","72.83325294717743"
"141","70","600","68.9036401272205"
"140","68","600","63.453062545161984"
"142","70","600","67.25535833385037"
"144","70","600","72.46826594873089"
"143","70","600","66.39252540574554"
"145","72","600","61.945979313579386"
"146","72","600","68.96843908540477"
"147","72","600","71.57359171217453"
"149","74","600","63.82992430736077"
"148","72","600","63.877766907391205"
"150","74","600","73.38902503902642"
"151","74","600","69.5778051696447"
"152","74","600","68.30588466123564"
"153","76","600","72.87436847099026"
"154","76","600","71.28821033682746"
"155","76","600","75.31845571293367"
"156","76","600","69.70553477842275"
"157","78","600","72.29151571946984"
"158","78","600","75.46470637715615"
"159","78","600","75.71834471344859"
"160","78","600","78.28103709995423"
"161","80","600","76.43457558110241"
"162","80","600","65.11016409393329"
"163","80","600","69.59633469798818"
"164","80","600","60.740596743977356"
"165","82","600","78.74496535262375"
"166","82","600","72.58933680240811"
"167","82","600","76.99902789356894"
"168","82","600","72.72186653861019"
"169","84","600","72.72267626907362"
"170","84","600","76.68539603758511"
"171","84","600","74.94077914271392"
"172","84","600","75.5174701212877"
"173","86","600","75.15155428191152"
"174","86","600","76.49540559391082"
"175","86","600","77.73512230317088"
"176","86","600","77.05489066643625"
"177","88","600","76.08765834850298"
"178","88","600","72.91929691170758"
"179","88","600","77.2572777483476"
"180","88","600","76.54464692668179"
"181","90","600","73.87351620854747"
"182","90","600","75.00461029855438"
"183","90","600","75.35783871994654"
"184","90","600","76.11493963809595"
